product_title,parent_asin,rating,review_title,review_text,timestamp,verified_purchase,helpful_vote,date,year
BlenderBottle 2 Pack with Stainless Steel Wire Whisk Ball - Two 20oz Bottles for Protein Shakes and Supplements,B07C58D935,5.0,"Skip the rest, stick with the best!",We have tried many other brands but Blender Bottle is where it's at. This is truly the only brand we have been able to put through our dishwasher and not have issues with tops screwing on hard. I will always come back to these and we are done spending money on other attempts.,1628132030446,True,0,2021-08-05 02:53:50.446,2021
"Truvani Organic Vegan Protein Powder Peanut Butter - 20g of Plant Based Protein, Organic Protein Powder, Pea Protein for Women and Men, Vegan, Non GMO, Gluten Free, Dairy Free (20 Servings)",B09FD8STXW,5.0,Yummy 😋,I ordered the chocolate peanut butter and made a few shakes with it. It blended so easily and was delicious!! I highly recommend this product because everything they put in it is natural and it tastes so good!! I can’t wait to try the other flavors!,1622492064607,True,0,2021-05-31 20:14:24.607,2021
"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten Free, Peanut Butter Lovers Variety Pack, 1.76 oz, Pack of 18",B0BM3VHWJN,2.0,Cookies and Cream is Gross,I have tried several of the other flavors from this brand. They have all tasted very good. So when I saw this cookies and cream one I figured it must be good too. Nope. It's gross. There is almost no flavor at all. Since we all have different preferences this is 100% my personal opinion. The birthday cake or lemon are good though. As well as the caramel.,1625754745741,True,0,2021-07-08 14:32:25.741,2021
"Cellucor Whey Sport Protein Powder Vanilla | Post Workout Recovery Drink with Whey Protein Isolate, Creatine & Glutamine | 18 Servings",B07SQ41LLG,5.0,Amazing taste,I have always been a chocolate flavor fan. But man! This has amazing taste. Never knew vanilla could taste so good. This on my subscription now.,1641781571350,False,0,2022-01-10 02:26:11.350,2022
"EarthChimp Organic Vegan Protein Powder - 26 Servings, 32 Oz - with Probiotics & Digestive Enzymes - Plant Based, Dairy Free, Non GMO, Gluten Free, Gum Free (Vanilla) No Scoop",B094P22J4Y,5.0,Tasty? You bet!,"I bought this as a breakfast alternative. I mix this with powdered peanut butter and almond milk. It blends easily, taste great, and fulfilling. Not only that, the company will donate 10% of packaging cost to removing plastic pollution from the ocean, plus they will plant a tree for you.<br /><br />I liked it so much (the taste, their altruistic company service) that I bought another bag...maybe I will even subscribe on a monthly basis.",1627004285975,True,0,2021-07-23 01:38:05.975,2021
"Premier Protein Powder, Cafe Latte , 30g Protein, 1g Sugar, 100% Whey Protein, Keto Friendly, No Soy Ingredients, Gluten Free, 17 servings, 23.9 Ounce (Pack of 1)",B07XB37LLX,2.0,Taste,I wasted my money. I like Premier shakes but was so disappointed in the powder form. I did not like the taste. I was expecting more of a coffee flavor.  It also did not blend very well. Still hsd tiny pieces in the drink.,1664912833837,True,0,2022-10-04 19:47:13.837,2022
BLACKUBE Electric Protein Shaker Bottles - 24 oz Rechargeable Vortex Mixer Cup | BPA Free | Made with Tritan | For Making Protein Shakes,B088QVFZ75,5.0,REALLY GREAT SPECIAL. CUP........,ONE SPECIAL CUP TO MIX & DRINK with NO MESS....,1625709380318,True,0,2021-07-08 01:56:20.318,2021
"It's Just! - Egg White Protein Powder, Dried Egg Whites Protein, Meringue Ingredient, Non-GMO, USA Farms, Unflavored (8oz)",B07ZHNX8NT,5.0,Easy extra protein,Bought this for my mom who was in need of some extra protein in her limited diet. This is perfect as it is able to be added to absolutely anything without changing the foods texture or taste,1678564935011,True,1,2023-03-11 20:02:15.011,2023
"Honey Badger Pre Workout Powder, Keto Vegan Preworkout for Men & Women with Vitamin C for Immune Support, Beta Alanine & Caffeine, Sugar Free Natural Energy Supplement, Candy Fish, 30 Servings",B0BBL6NGLS,2.0,Clumped and gross,"I used this before and it was alright, and was gonna go back to it since my usual pre workout is more expensive. However, it was filled with so many clumps and clearly old. Disgusting",1632769251474,True,0,2021-09-27 19:00:51.474,2021
"Ultimate Nutrition PRE Gold Preworkout Powder with Beta Alanine, Taurine, Citrulline, Vitamin C and Vitamin B6 - Pre Workout Energy Drink Supplement, 30 Servings, Blue Raspberry",B07CGDDS9C,5.0,Like to Product but,"The flavor of this product is gross.  Requiring just the correct amount in your smoothie; which is probably a good thing.  This powder works really well; so much so that it will impact my ability to sleep if used in the afternoon.  Yea, will purchase.",1630962676641,True,0,2021-09-06 21:11:16.641,2021
"Sports Research Collagen Peptides Powder - Hydrolyzed Type 1 & 3 Collagen Protein Supplement for Skin, Nails, Bones & Joints - Easy Mixing Vital Nutrients & Amino Acids, Collagen for Women & Men",B0BL2GJJ13,5.0,awesome!!!,Awesome product!!!!!,1643657104424,True,0,2022-01-31 19:25:04.424,2022
"Nutiva Organic Plant Protein Smoothie, Vanilla, 1.4 Pound, USDA Organic, Non-GMO, Non-BPA, Vegan, Gluten-Free, Keto & Paleo, 23g Protein Shake & Meal Replacement",B0BBK3GGNL,2.0,Taste is dreadful,"The product was easy to mix, but the taste is awful, I will use it up by adding chocolate, or fruit with almond milk",1613836125795,True,0,2021-02-20 15:48:45.795,2021
"Three Arrows Restore Collagen Peptides - Improve Nutrient Absorption, Reduce Inflammation, Healthy Hair Growth, Improve Wound Healing, Grass Fed, Hydrolyzed, Unflavored Protein Powder 41 Servings",B07P6S4F9D,4.0,"good mill, blends into coffee seemlessly","We have been on a ""clean"" nutrient dense ketogenic diet for two years. Not the weight loss kind (although we lost weight) but the therapeutic kind to help disease and inflammation.  We have used collagen powder in our coffee before and I like that it gives us just a little bit more energy.<br /><br />Our current regimen is: 3 pumps MCT oil, 1 tbsp grassfed butter, 6 drops fat soluable DK. So ... we add this collagen to that mixture. We blend it with an immersion blender and it blends down perfectly.<br /><br />We chose unflavored because we pretty much gave up normal ""sweet taste"" cold turkey two years ago and totally desensitized ourselves to sweet. (It is a weird place in life not to crave sweet, never though I would be there ever.)<br /><br />Anyway ... No flavor to this product and that is perfect, almost thought it would be salty or gritty or something. NOPE. It just blended in and really added no flavor or thickness to the coffee.<br /><br />Energy wise ... I think, as with other collagen powders, there is an extra boost and for that I am happy. We already do not have a great deal of inflammation anymore, so hard to say what this product does there as far as joints and such.<br /><br />From grass fed animal is a plus.  Grass finished would be better.<br /><br />Overall ... this is a good value comparatively speaking, the mill is good and I could easily recommend it.",1599054291799,False,0,2020-09-02 13:44:51.799,2020
"Pure Protein Chocolate Protein Shake | 30g Complete Protein | Ready to Drink and Keto-Friendly | Vitamins A, C, D, and E plus Zinc to Support Immune Health | 11 Fl Oz (Pack of 4)",B0C95FG16G,1.0,White specks in the protein drink,"I bought this protein shake because the price was great and I wanted to add more protein to my diet. The protein shake was very thick and tasted chalky. The taste wasn’t the best, but the white specks in the shake turned me off. I did some research and found out,  it from protein spiking. I would not buy this shake again nor will I recommend it.",1617295707124,False,1,2021-04-01 16:48:27.124,2021
"Sports Research Collagen Peptides Powder - Hydrolyzed Type 1 & 3 Collagen Protein Supplement for Skin, Nails, Bones & Joints - Easy Mixing Vital Nutrients & Amino Acids, Collagen for Women & Men",B0BL2GJJ13,4.0,Procing,This is my second order of this product.<br />Good value!,1653682687961,True,0,2022-05-27 20:18:07.961,2022
"KOS Vegan Protein Powder, Chocolate USDA Organic - Low Carb Pea Protein Blend, Plant Based Superfood with Vitamins & Minerals - Keto, Soy, Gluten Free - Meal Replacement for Women & Men - 10 Servings",B0C533RGW5,5.0,wonderful product..i will aways have on stock.,Loved it..well buy again any flavor. I start my day and love to drink for energy.  The flavors are so wonderful.,1591114880353,True,0,2020-06-02 16:21:20.353,2020
"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten Free, Peanut Butter Lovers Variety Pack, 1.76 oz, Pack of 18",B0BM3VHWJN,5.0,Very good,Tastes like a candy bar with no aftertaste!,1676128215148,True,0,2023-02-11 15:10:15.148,2023
"NOW Supplements, L-Lysine (L-Lysine Hydrochloride) 1,000 mg, Double Strength, Amino Acid, 250 Tablets",B0BNGRKLYV,5.0,It works !,It is protecting my system from viruses!!,1641504764934,True,0,2022-01-06 21:32:44.934,2022
"CLIF BARS - Energy Bars - Crunchy Peanut Butter - Made with Organic Oats - Plant Based Food - Vegetarian - Kosher (2.4 Ounce Protein Bars, 12 Count) Packaging May Vary",B091D4SBW7,5.0,Love these bars. Now I just hope they don’t run out!,My favorite bar! It’s actually the only one I buy!,1610516580280,True,0,2021-01-13 05:43:00.280,2021
"Optimum Nutrition Gold Standard Pre Workout with Creatine, Beta-Alanine, and Caffeine for Energy, Flavor: Green Apple, 30 Servings (Packaging May Vary), Powder",B097DS8M9R,1.0,Am i just drinking water?,"I'm up at 4 am for work, go straight to the gym after work so I need energy when I go to the gym in order to get a good workout. I was out of my usual prework so I needed something right away. This did nothing. I added an extra scoop the following day, still nothing! It's now sitting on my fridge collecting dust.",1630237831936,True,0,2021-08-29 11:50:31.936,2021
"Sports Research Collagen Peptides Powder - Hydrolyzed Type 1 & 3 Collagen Protein Supplement for Skin, Nails, Bones & Joints - Easy Mixing Vital Nutrients & Amino Acids, Collagen for Women & Men",B0BL2GJJ13,5.0,Everyday use,This will be a great additive for my daily routine.,1595943381693,True,0,2020-07-28 13:36:21.693,2020
"BlenderBottle Classic Shaker Bottle Perfect for Protein Shakes and Pre Workout, All Pink and Coral , 28-Ounce (Pack of 2)",B0BZTSMS3K,5.0,Nice,Easy to clean and looks nice,1613101332975,True,0,2021-02-12 03:42:12.975,2021
"No Cow Dipped High Protein Bars, Sticky Cinnamon Roll, 20g Plant Based Protein, Keto Friendly, Low Carb, Low Sugar, Dairy Free, Gluten Free, Vegan, High Fiber, Non-GMO, 12 Count",B0BZJQQRMB,5.0,Surpringly Tasty,These have a wonderful key lime taste.,1663495645247,True,0,2022-09-18 10:07:25.247,2022
Sheer Revive Post Workout Recovery Drink - Plant Based Protein Powder with B Vitamins - Double Fudge Chocolate Flavor - 1 Serving,B08HSNCSJK,5.0,Tastes great!,"I normally hate recovery drinks because they either taste awful out have a horrible consistency/texture. The Sheer Strength Revive post-workout drink is awesome! It's a delicious, chocolatey drink that tastes great and has a great texture. It tastes amazing on it's own or mixed into a protein shake.",1618160027116,True,0,2021-04-11 16:53:47.116,2021
"Nitric Oxide Fuel - Nitric Oxide Complex for Stamina Endurance Size & Physical Performance - Maca, Tribilus, Ginseng & Essential Amino Acids to Boost Stamina, 90 Caps Made USA",B01LYBLJMC,4.0,First time using,Will be using this product for energy !! Excited,1591905306420,True,2,2020-06-11 19:55:06.420,2020
"Dymatize Elite 100% Whey Protein Powder, 25g Protein, 5.5g BCAAs & 2.7g L-Leucine, Quick Absorbing & Fast Digesting for Optimal Muscle Recovery, Fruity Pebbles, 5 Pound, 67 Servings",B08TLDLSGG,1.0,Disgusting flavor,Absolutely disgusting.  That pretty much sums it up.,1649977077209,True,0,2022-04-14 22:57:57.209,2022
"CLIF BARS - Energy Bars - Crunchy Peanut Butter - Made with Organic Oats - Plant Based Food - Vegetarian - Kosher (2.4 Ounce Protein Bars, 12 Count) Packaging May Vary",B091D4SBW7,5.0,Yummy and gives you energy,I like clif bars for their quick snack and I liked these for the great peanut butter taste.,1637627437128,True,0,2021-11-23 00:30:37.128,2021
"BCAA Amino Acids Supplement - No Filler Branched Chain Amino Acids - Leucine Capsules, Valine, Isoleucine for Faster Workout Recovery and Muscle Growth for Men & Women - Made in USA - 90 BCAA Capsules",B00KGOCK5S,5.0,Great product,This has been a good product. I’m starting to feel the effects. It’s been 2 weeks,1610656497788,True,0,2021-01-14 20:34:57.788,2021
"Extra Strength Nitric Oxide Supplement L Arginine 3X Strength - Citrulline Malate, AAKG, Beta Alanine - Premium Muscle Supporting Nitric Booster for Strength & Energy to Train Harder - 120 Capsules",B08WVF4S11,4.0,Hopefully I’ll see some results,It was ok,1598655247858,True,0,2020-08-28 22:54:07.858,2020
"Garden of Life Raw Organic Protein Vanilla Powder Packets, 10ct Tray - Certified Vegan, Gluten Free, Organic & Non-GMO, Plant Based Sugar Free Shake with Probiotics & Enzymes, 4g BCAAs, 22g Protein",B0B2Y6VPMM,1.0,Too chalky,Too chalky,1578205649889,True,1,2020-01-05 06:27:29.889,2020
"Ancient Nutrition Bone Broth Protein Powder, Tomato Basil, Grass-Fed Chicken and Beef Bone Broth Powder, 15g Protein Per Serving, Supports a Healthy Gut, 15 Servings",B0BX4W5MY5,4.0,nice easy way to make broth for soup or a comforting cuppa,"lovely warming flavors, especially as we enter in to fall.  used hot water to create a broth.  useful for making soup or a drink.  i wished less plastic was used as the bottle wasn't exactly full: more earth friendly packaging please.",1665763932393,False,0,2022-10-14 16:12:12.393,2022
"Dymatize Elite Casein Protein Powder, Slow Absorbing with Muscle Building Amino Acids, 100% Micellar Casein, 25g Protein, 5.4g BCAAs & 2.3g Leucine, Helps Overnight Recovery, Smooth Vanilla, 4 Pound",B0BR79M181,5.0,Wow! That's Good,If it works as good as it taste it will be awesome. I bought 1 vanilla and 1 chocolate and both are very rich and flavorful.,1626427712620,True,0,2021-07-16 09:28:32.620,2021
"Naked Rice 1LB - Organic Brown Rice Protein Powder - Vegan Protein Powder, GMO Free, Gluten Free & Soy Free. Plant-Based Protein, No Artificial Ingredients - 15 Servings",B0BJ6WCZNN,5.0,Love this product!,"Very simple, no artificial sugar or any other unnecessary ingredients! No stomach bloating with this protein. I mix it with banana, strawberries, coconut milk, glutamine, honey, cinnamon and peanut butter powder. Tastes great!",1589833975878,True,0,2020-05-18 20:32:55.878,2020
"ONE Plant Protein Bars, Chocolate Cookie Dough, Vegan, Gluten Free Protein Bars with 12g Protein & Only 1g Sugar, Guilt-Free Snacking for High Protein Diets, 1.59 Oz (12 Pack)",B0B2S25SLW,5.0,Delicious,These taste great & they do not upset your stomach at all,1587915949777,True,1,2020-04-26 15:45:49.777,2020
Hydrolyzed Collagen Protein Powder for Women and Men Collagen Peptides Types I and III Non-GMO Grass-Fed Gluten-Free Kosher and Pareve Unflavored Easy to Mix Healthy Hair Skin Joints Nails 2Pack,B074BDFXLS,5.0,Five star product!,"All around great product! Blends instantly in cool water. Bit of flavor but, nothing objectionable. Very happy with this product that is why I reordered, this time a two pack. Saved me a small amount of money. I highly recommend it!",1608775867522,True,0,2020-12-24 02:11:07.522,2020
"Pure Protein Chocolate Protein Shake, 30g Complete Protein, Ready to Drink and Keto-Friendly, Vitamins A, C, D, and E Plus Zinc to Support Immune Health, 11oz Bottles, (Pack of 12)",B0BHKCSS8M,2.0,To me it didn't taste like chocolate.,"I was very disappointed in the flavor. It didn't taste like chocolate at all to me. I'm not sure what the flavor tasted like. The bottles were easy to open and the amount was a great value for the price. Someone else might like them. Or a different flavor. Just not for me. I will stick with Premier shakes or Atkins. They are just both on back order and Premier’s price fluctuates so much.<br />Thanks, Kim",1662645868419,True,0,2022-09-08 14:04:28.419,2022
"BlenderBottle Classic Shaker Bottle Perfect for Protein Shakes and Pre Workout, All Pink and Coral , 28-Ounce (Pack of 2)",B0BZTSMS3K,5.0,Blender bottle,Love my cup for mixing powder drink.,1613777952880,True,0,2021-02-19 23:39:12.880,2021
"Naked BCAAs Amino Acids Powder, Only 1 Ingredient, 100% Pure 2:1:1 Formula, Vegan Unflavored Branched Chain Amino Acids, Instantized All Natural BCAA Powder Supplement - 500 Grams, 100 Servings",B078PB37ZY,5.0,Its works and is vegan,Was not expecting it to be as good as it has been. Using it a couple of weeks now and for some reason seems better than 'regular' bcaa's for sale.<br />The smell not so.good when you first open the container but the taste is on the nuetral side.<br />I will be purchasing it again.<br />And its not full of chemicals!,1579624753413,True,22,2020-01-21 16:39:13.413,2020
"Garden of Life Marine & Grass-Fed Collagen Peptides Powder Supplement (Type I, III) with Probiotics, BCAAs & Hyaluronic Acid for Radiant Hair, Skin & Nails – Unflavored, 20g per Serving, 12 Servings",B09KCK8TPV,5.0,"large serving size, could easily be halved to be comparable to other brands","Really good collagen product that includes types 1  & 3, from fish and cows. And unlike most collagen supplements, this also includes hyaluronic acid and probiotics. Would be nice to see some vitamin C as that would further boost the effectiveness of hyaluronic acid and the collagen peptides. I rate it 5 stars because it is very good, blends well into my coffee, and it has no flavor. Down side, which I dont dont rate on is that it has just 12 servings per container. It could be halved (making for 24 servings) if you dont need 18 grams of protein at once.  A LOT of collagen supplements are 8-12 grams per serving. So this size in comparison to most is a larger serving. I usually use about 3/4 of scoop full, or do two half servings through day.<br /><br />As for the container being half empty? Products are sold based on weight, not volume. When the powder settles it is half full. When I shake it up, it is three quarters full. While it could be a smaller container, it isn't unreasonable. Also, it comes with a scoop, which takes up room. Why down rate. you are not getting less product (aiming this at review who said this is a scam).<br /><br />Love the brand, love this collagen. I have it on subscribe and save. I use Vital Proteins or another brand alongside with this.",1651330502268,True,27,2022-04-30 14:55:02.268,2022
"ONE Protein Bars, Crunch Cinnamon French Toast, Gluten Free Protein Bars with 12g Protein and only 1g Sugar, Healthy and Guilt-Free Snacking for Any Occasion (12 Count)",B0C1TV7FJ6,5.0,Good product.,Good product. Just make sure to order when it's not to hot out or it will arrive melted,1599266545219,True,0,2020-09-05 00:42:25.219,2020
"Dymatize ISO 100 Whey Protein Powder with 25g of Hydrolyzed 100% Whey Isolate, Chocolate Peanut Butter, 5 Pound",B0BZR984P4,5.0,Best ever,"If you like fruity pebbles, this is the best protein powder ever for taste. It literally tastes like you're drinking the milk after eating fruity pebbles. (I use almond milk rather than water or milk)",1673718853063,True,1,2023-01-14 17:54:13.063,2023
"Muscle Milk Genuine Protein Shake, Chocolate, 25g Protein, 11 Fl Oz (Pack of 4)",B014V009BE,5.0,Tastes Great!,Really good value and great quality.,1599241538375,True,0,2020-09-04 17:45:38.375,2020
"Premier Protein Powder, Cafe Latte , 30g Protein, 1g Sugar, 100% Whey Protein, Keto Friendly, No Soy Ingredients, Gluten Free, 17 servings, 23.9 Ounce (Pack of 1)",B07XB37LLX,5.0,Protein powder,Love the taste,1610722481668,True,0,2021-01-15 14:54:41.668,2021
"Naked Rice 1LB - Organic Brown Rice Protein Powder - Vegan Protein Powder, GMO Free, Gluten Free & Soy Free. Plant-Based Protein, No Artificial Ingredients - 15 Servings",B0BJ6WCZNN,5.0,What I’ve Been Searching For!,"Thank God for this protein powder. Through lots of trial and error, I discovered that I couldn’t tolerate whey or pea protein. This brown rice powder works fine. I love the fact that it consists of only organic, sprouted brown rice without additives. I make a daily smoothie in either A2 milk or water and add powdered greens; fruits, and probiotics. It is admittedly a bit chalky, but I just add stevia to sweeten it.  It fills me up too. Will continue to purchase.",1671312294325,True,5,2022-12-17 21:24:54.325,2022
"Orgain Organic Sport Vegan Protein Powder, Chocolate - 30g Plant Based Protein, For Preworkout or Muscle Recovery, With Turmeric, Ginger, Beets & Chia Seeds, Gluten Free, Dairy Free, Soy Free - 2.01lb",B0C5S9YR23,4.0,"I will buy this again, but...","I hope that they give us an unsweetened option. I hate the taste of artificial sweeteners, and I'd rather not have any sweetness at all tbh. I'll still buy it again because the shake is filling and offers a lot of protein after a workout. I usually blend it with matcha and peanut butter, so I really with they would nix the sweet.<br /><br />I know they offer ONE unsweetened option, but that one has 21g of protein and I wanted more (I used to buy that one btw and preferred the taste of that).",1611864792593,True,8,2021-01-28 20:13:12.593,2021
"Sports Research Collagen Peptides Powder - Hydrolyzed Type 1 & 3 Collagen Protein Supplement for Skin, Nails, Bones & Joints - Easy Mixing Vital Nutrients & Amino Acids, Collagen for Women & Men",B0BL2GJJ13,5.0,Just great,I just love using this product. I used it before and it grew my hair so much in a month that I was surprised. I am just going to stick to this brand.,1598830249793,True,0,2020-08-30 23:30:49.793,2020
"Ryse Core Series Loaded Protein | Build, Recover, Strength | 25g Whey Protein | Added Prebiotic Fiber and MCTs | Low Carbs & Low Sugar | 27 Servings (Peanut Butter Cup)",B0BK28FY7R,5.0,The smell and flavor of the mix is amazing and versatile.,"I bought this as a gift for my friend. He was extremely happy. He said that he had never tasted a protein mix with such intense chocolate flavor. We used the mix for pancakes and they tasted amazing as well. My friend has been using it for a while now and he still has some mix left, so it has lasted a while. I'm satisfied.",1627934235044,True,0,2021-08-02 19:57:15.044,2021
"BEYOND RAW LIT | Clinically Dosed Pre-Workout Powder | Contains Caffeine, L-Citruline, and Beta-Alanine, Nitrix Oxide and Preworkout Supplement | Jolly Rancher Green Apple | 30 Servings",B072JNJZF5,4.0,"It's ok, but def not Jack3d","It's ok. What you get out of it works fast, but its not near as good as the original Jack3d.",1610887474139,False,0,2021-01-17 12:44:34.139,2021
"Codeage Multi Collagen Chocolate Protein Powder, Hydrolyzed Collagen Peptides, 5 Collagen Types, Collagen Creamer, Protein Shakes, MCT Oil, Hair, Skin, Nails, Joints, Grass-Fed, Non-GMO - 18.17 oz",B07DLFB1B4,4.0,Good,It's good,1627313165469,True,0,2021-07-26 15:26:05.469,2021
"NOW Supplements, L-Lysine (L-Lysine Hydrochloride) 1,000 mg, Double Strength, Amino Acid, 250 Tablets",B0BNGRKLYV,5.0,Large Pills,Once a day to keep fever sores away.,1670530482857,True,4,2022-12-08 20:14:42.857,2022
"Pure Encapsulations L-Lysine - Essential Amino Acid Supplement for Immune Support & Gum, Lip Health* - with L-Lysine HCl - 270 Capsules",B08NRFL1SP,5.0,Pure Encapsulations L-Lysine,This brand is one of the best because of their high standards! The capsules are small and easy to swallow.,1621258809145,True,2,2021-05-17 13:40:09.145,2021
"Doctor's Recipes Magnesium Glycinate for Men & Women, 100mg Elemental Mag, 90 Caps, Amino Acid Chelated, High Absorption, Easy on Stomach, Calm, Bone, Muscle, Heart, Energy, Nerve, Sleep, No Gluten",B08H1ZK9QD,5.0,"Works, no stomach problems and sleep is amazing!",Being in menopause sleep quality has been a huge problem for well over a year.  This product is amazing not only helps this issue but there are no stomach side effects.  Highly recommend!,1610891677190,True,0,2021-01-17 13:54:37.190,2021
"Protein2o 15g Whey Protein Infused Water Plus Energy, Blueberry Raspberry, 16.9 oz Bottle (Pack of 12)",B0BDBBD5VH,5.0,No chalky taste!,Great taste love the added energy! Some of the other flavors can have a chalky taste. Not this one!,1625356579705,True,0,2021-07-03 23:56:19.705,2021
"Sports Research Collagen Peptides Powder - Hydrolyzed Type 1 & 3 Collagen Protein Supplement for Skin, Nails, Bones & Joints - Easy Mixing Vital Nutrients & Amino Acids, Collagen for Women & Men",B0BL2GJJ13,5.0,I used it with hot milk...Like a chocolate drink. I love it.,I used it with hot milk...Like a chocolate drink. I love it.,1580174541988,True,0,2020-01-28 01:22:21.988,2020
